customer_id,tenure_months,monthly_charge,support_tickets_90d,contract_type,autopay,usage_drop_pct,late_payments_12m,churn
CUST-10000,15,28.0,1,Two year,Yes,26.2,0,Yes
CUST-10001,55,28.81,0,Month-to-month,Yes,17.4,2,No
CUST-10002,70,75.34,0,Month-to-month,Yes,19.1,0,No
CUST-10003,44,37.27,0,One year,Yes,5.7,1,No
CUST-10004,6,112.57,0,One year,Yes,5.3,0,No
CUST-10005,47,94.28,0,Two year,Yes,26.0,1,No
CUST-10006,11,127.64,2,One year,No,3.4,1,No
CUST-10007,10,98.1,2,Month-to-month,Yes,23.1,1,No
CUST-10008,72,51.35,0,Month-to-month,Yes,39.4,1,No
CUST-10009,9,50.32,0,Two year,No,19.4,2,No
CUST-10010,59,42.14,3,Two year,No,35.3,0,No
CUST-10011,47,51.32,0,Month-to-month,No,19.2,0,Yes
CUST-10012,21,120.05,1,One year,No,17.7,0,No
CUST-10013,2,106.63,0,Month-to-month,No,16.7,0,Yes
CUST-10014,21,79.45,4,One year,Yes,5.6,0,No
CUST-10015,65,98.08,1,Month-to-month,No,16.6,0,No
CUST-10016,68,135.22,0,Month-to-month,No,4.2,2,Yes
CUST-10017,8,53.9,0,Two year,Yes,30.8,1,Yes
CUST-10018,69,116.9,2,Two year,Yes,28.1,0,No
CUST-10019,28,136.47,4,Two year,Yes,11.3,0,No
CUST-10020,48,77.57,0,Month-to-month,Yes,14.1,0,Yes
CUST-10021,29,25.86,3,Two year,Yes,19.6,3,No
CUST-10022,10,86.7,1,Two year,Yes,33.1,0,No
CUST-10023,32,119.15,0,One year,Yes,34.5,1,No
CUST-10024,53,81.04,1,Two year,Yes,0.0,2,No
CUST-10025,14,54.84,2,Month-to-month,No,21.5,1,No
CUST-10026,10,78.18,2,Month-to-month,Yes,0.0,3,No
CUST-10027,22,73.77,0,One year,Yes,37.8,0,Yes
CUST-10028,1,143.24,1,One year,No,42.9,0,No
CUST-10029,72,104.42,3,One year,Yes,19.1,1,Yes
CUST-10030,70,32.31,1,One year,Yes,19.7,2,No
CUST-10031,9,96.4,2,Two year,Yes,0.0,2,No
CUST-10032,6,99.33,0,Two year,No,25.3,1,No
CUST-10033,31,56.87,1,Month-to-month,No,0.0,1,No
CUST-10034,2,79.99,6,Month-to-month,Yes,14.5,0,Yes
CUST-10035,9,130.51,1,One year,No,31.6,2,No
CUST-10036,68,25.94,2,Two year,Yes,2.7,1,No
CUST-10037,14,114.09,1,Month-to-month,No,12.8,1,Yes
CUST-10038,34,85.65,1,Month-to-month,Yes,50.0,0,Yes
CUST-10039,43,117.53,0,Two year,No,24.1,1,No
CUST-10040,72,26.16,4,Month-to-month,Yes,30.1,1,Yes
CUST-10041,17,30.02,0,One year,Yes,23.8,0,No
CUST-10042,14,67.44,0,Two year,Yes,3.0,1,No
CUST-10043,23,130.77,1,Month-to-month,Yes,13.8,0,No
CUST-10044,32,57.02,1,Month-to-month,No,7.6,1,No
